user,days_to_due,workload,priority,was_on_time
alice,42,6,Medium,1
alice,41,9,Medium,1
eve,50,5,Low,1
alice,44,4,Medium,1
dave,43,5,Medium,1
bob,9,2,High,1
dave,50,3,Low,0
alice,18,11,High,1
carol,59,3,High,1
bob,48,6,High,0
carol,2,11,Medium,1
bob,53,6,High,1
bob,26,6,Medium,1
dave,8,7,Medium,0
bob,31,4,Medium,1
alice,10,4,Medium,1
alice,54,4,Low,1
carol,53,1,Low,1
bob,3,6,Low,0
eve,58,0,Low,1
carol,4,10,Medium,1
bob,29,7,Medium,1
bob,25,6,High,1
carol,16,6,Low,1
alice,58,5,High,1
bob,53,10,Medium,0
bob,15,6,High,1
carol,19,9,High,1
dave,47,5,High,0
carol,8,7,Low,1
dave,51,4,Low,1
eve,3,8,Medium,0
alice,7,6,Medium,1
alice,37,11,High,1
alice,25,1,High,1
bob,46,8,High,1
eve,43,8,Medium,0
carol,14,11,Medium,0
alice,28,2,Low,1
alice,40,3,High,1
alice,34,2,Medium,1
eve,13,4,High,1
bob,47,1,Medium,1
eve,50,11,Low,1
alice,55,10,Low,0
eve,26,5,High,1
alice,1,2,Low,0
carol,18,11,Low,1
dave,59,0,Low,1
dave,49,4,Medium,0
carol,40,5,High,1
dave,54,5,Low,0
dave,55,6,Medium,0
eve,25,8,High,1
carol,23,10,Low,1
eve,43,1,Low,1
eve,57,6,Low,1
dave,18,7,Low,0
carol,42,6,Medium,1
carol,6,10,High,0
alice,31,4,Medium,1
eve,13,0,Low,1
eve,28,0,High,1
bob,50,8,Medium,0
eve,38,5,High,1
bob,40,2,Low,1
alice,24,2,Medium,1
dave,24,2,Medium,0
alice,45,0,Medium,1
alice,16,1,High,0
carol,25,5,Low,1
bob,19,0,Medium,1
bob,34,8,High,0
eve,58,5,High,1
bob,10,8,Medium,1
dave,9,3,Low,0
eve,9,9,High,1
carol,57,3,High,1
dave,15,1,Low,0
eve,4,9,High,0
alice,8,2,Low,1
alice,30,4,Low,1
eve,42,3,High,1
bob,56,8,Low,1
dave,23,6,Low,1
eve,14,9,Low,0
alice,31,1,Low,1
bob,25,9,Low,0
carol,58,2,Medium,1
dave,5,2,Medium,1
carol,47,7,High,1
alice,44,6,Low,1
alice,19,5,Low,1
alice,25,5,Low,1
dave,16,3,Low,0
eve,13,6,Low,1
dave,25,5,Medium,0
eve,25,6,High,1
carol,26,2,Medium,1
carol,11,5,High,1
bob,48,4,Medium,1
carol,8,2,Medium,0
alice,45,0,High,1
dave,35,10,Low,1
carol,1,10,Medium,1
alice,59,10,Medium,1
bob,36,4,High,1
alice,35,4,Low,1
carol,52,0,Low,1
bob,15,5,Low,1
dave,55,7,Low,1
eve,41,1,High,1
dave,49,0,Medium,1
dave,14,8,High,0
eve,55,8,Medium,1
carol,54,1,High,1
alice,56,3,High,1
carol,37,1,Medium,1
carol,17,9,Low,1
eve,39,1,Medium,1
alice,5,4,Low,1
alice,5,9,High,1
carol,36,5,Medium,1
eve,38,10,Medium,0
alice,33,0,High,1
carol,59,0,Medium,1
dave,6,1,Low,0
alice,13,7,Medium,1
alice,37,10,Low,0
alice,15,1,Low,1
bob,34,9,Low,0
bob,42,6,Medium,1
alice,4,0,Medium,1
eve,26,8,Low,1
bob,51,7,Low,1
dave,24,10,Medium,0
alice,49,7,Low,1
alice,55,11,Low,1
eve,22,10,Medium,1
alice,42,1,High,0
bob,55,9,High,1
alice,15,7,Medium,1
carol,57,11,Medium,0
eve,1,3,High,1
eve,1,2,High,1
eve,16,11,Low,0
bob,16,11,High,0
carol,17,8,Low,0
dave,53,6,Low,0
eve,4,6,Low,1
bob,17,4,Medium,1
alice,20,0,Medium,1
bob,6,2,Medium,1
alice,23,6,Medium,1
dave,27,9,High,1
eve,55,10,High,0
bob,55,9,High,0
eve,26,2,Low,1
eve,34,0,High,1
carol,58,1,Low,1
alice,14,3,Medium,1
bob,34,3,High,1
alice,33,9,Low,1
bob,51,11,High,0
carol,28,0,Medium,1
bob,2,3,Medium,0
alice,23,11,Medium,1
bob,33,10,Medium,0
carol,53,5,High,1
alice,17,7,High,0
alice,24,8,High,1
bob,48,7,Medium,0
eve,18,6,High,1
eve,17,1,Medium,1
eve,45,1,High,1
alice,29,3,Medium,1
carol,44,8,High,1
dave,37,6,Low,1
bob,25,9,Medium,1
alice,18,4,Low,1
bob,19,0,High,1
carol,43,0,Low,1
dave,36,4,Medium,0
dave,16,7,High,0
alice,49,8,Medium,1
bob,8,6,Medium,0
alice,14,10,Medium,1
alice,26,8,High,1
carol,52,3,High,1
bob,14,11,Medium,1
bob,44,0,High,0
bob,44,9,High,1
dave,40,1,Medium,0
eve,23,0,Medium,1
bob,20,3,Low,0
dave,40,1,Medium,0
bob,44,5,High,0
bob,12,3,Low,1
eve,51,7,Low,1
carol,6,3,Low,0
eve,48,6,Low,1
carol,58,4,Low,1
alice,15,2,High,1
bob,21,7,High,0
bob,24,2,Low,0
bob,12,5,Low,1
alice,10,9,High,1
carol,1,11,Low,0
eve,34,9,High,0
dave,18,4,Low,0
alice,10,1,Medium,1
carol,11,8,Low,1
bob,8,9,Low,1
dave,10,4,High,1
eve,14,5,Medium,1
eve,44,1,Medium,0
alice,1,9,Medium,0
eve,44,5,Medium,0
bob,6,0,Low,0
carol,10,7,High,1
eve,57,6,High,1
dave,57,3,Medium,1
alice,52,9,Medium,0
carol,23,1,High,1
eve,31,6,High,0
bob,47,0,High,1
carol,51,1,High,1
eve,30,11,High,1
dave,49,10,Medium,0
dave,33,7,High,0
carol,18,4,Medium,1
carol,54,0,Medium,1
bob,57,4,Medium,1
eve,19,2,Medium,1
bob,58,11,Medium,1
dave,18,4,Medium,0
eve,7,9,Medium,0
dave,9,4,High,0
bob,52,8,High,1
bob,56,6,Low,1
dave,21,5,High,1
dave,26,4,Low,1
eve,45,0,Low,1
eve,23,10,Medium,0
dave,40,4,Medium,1
dave,26,4,High,1
dave,5,5,Medium,0
carol,5,1,Medium,1
bob,45,9,Medium,1
dave,53,0,Low,0
eve,51,9,Low,0
eve,29,2,Medium,1
dave,54,3,Low,0
dave,25,6,Medium,0
carol,9,4,Medium,1
alice,55,1,High,1
eve,41,1,Low,1
dave,52,4,Medium,1
bob,17,10,Low,0
bob,54,6,Medium,0
dave,49,10,High,0
bob,49,7,Low,0
carol,43,1,Low,0
dave,26,8,Low,0
carol,4,11,Medium,0
alice,22,1,High,0
dave,49,11,Low,1
dave,31,11,Low,1
eve,20,6,High,1
alice,50,4,High,1
eve,18,3,Low,1
alice,44,4,Low,0
eve,55,9,Medium,1
eve,58,9,Medium,0
dave,51,4,High,0
eve,30,4,High,1
eve,58,8,Medium,1
eve,40,5,Low,1
dave,50,0,High,0
alice,29,10,High,0
dave,10,5,High,0
bob,27,4,Low,1
dave,20,5,Medium,0
eve,56,4,Medium,1
alice,29,2,High,0
carol,42,4,Low,1
carol,25,5,High,1
dave,44,1,High,0
carol,53,0,Low,1
eve,2,2,Low,0
bob,42,10,High,1
bob,36,2,High,1
bob,53,5,Low,1
dave,40,3,Medium,1
dave,4,7,High,1
carol,24,4,Medium,1
carol,12,1,High,0
carol,35,6,High,0
dave,9,11,High,0
carol,19,11,High,1
eve,1,9,Low,1
dave,22,1,Medium,1
dave,18,10,Low,0
bob,44,7,Medium,0
bob,7,3,Medium,1
carol,9,10,High,1
carol,35,1,High,1
dave,39,3,High,0
bob,43,5,Low,1
dave,38,6,Low,0
alice,7,8,Low,1
eve,44,1,Medium,1
dave,39,1,Medium,1
dave,58,0,Low,0
carol,59,6,Low,1
bob,38,9,Low,1
dave,15,5,Medium,0
carol,3,5,Medium,0
carol,12,0,Low,1
bob,4,9,Low,0
dave,6,2,High,0
alice,27,2,High,1
dave,24,10,Low,0
alice,37,7,Medium,1
dave,25,7,High,0
eve,27,5,High,1
alice,35,0,High,0
eve,52,1,Low,1
carol,55,2,Low,1
dave,24,4,Low,0
alice,57,4,High,1
bob,33,8,Medium,0
eve,35,2,High,1
eve,56,9,Medium,0
carol,8,10,High,1
bob,6,8,Low,0
alice,34,1,High,1
alice,45,10,Medium,0
carol,46,5,Medium,1
dave,25,11,High,0
eve,49,3,High,1
eve,39,1,Medium,1
eve,30,2,Low,1
bob,59,11,Medium,1
carol,34,11,Medium,0
alice,16,10,High,0
eve,39,3,High,1
bob,45,10,Medium,1
bob,47,4,Low,1
dave,34,4,Low,1
carol,9,5,High,1
dave,3,7,High,0
alice,38,9,Low,0
eve,39,5,Medium,1
dave,11,1,Low,0
carol,35,11,Low,0
carol,38,3,Low,1
bob,18,11,High,0
eve,9,1,Medium,1
eve,31,9,Medium,1
eve,49,5,High,0
eve,46,9,High,0
bob,38,11,Medium,1
carol,16,0,High,1
eve,56,6,Low,1
carol,38,9,Medium,1
alice,11,7,High,1
eve,8,2,Medium,1
dave,8,9,Medium,0
alice,29,8,Low,1
bob,29,5,High,1
alice,40,5,Medium,1
eve,33,8,High,1
carol,24,9,High,0
carol,28,11,Low,0
bob,7,9,High,1
bob,25,8,High,0
bob,42,3,High,1
carol,6,9,Medium,1
bob,58,1,Low,0
eve,20,6,High,1
carol,1,4,High,0
carol,46,6,Low,1
dave,45,9,High,1
bob,35,7,Low,0
alice,34,10,High,0
carol,4,10,High,1
bob,11,1,Medium,1
bob,50,6,Low,1
carol,12,6,High,0
eve,48,1,High,1
dave,20,1,High,0
dave,13,0,Low,1
dave,57,6,High,0
carol,1,4,Low,1
carol,45,3,High,1
dave,4,3,High,1
alice,18,5,Medium,1
dave,39,6,High,1
eve,17,11,Low,1
alice,37,1,Medium,1
alice,35,9,Low,1
carol,20,1,Low,1
carol,37,1,High,1
dave,35,4,High,1
bob,43,0,High,0
alice,49,0,Medium,1
alice,29,1,Medium,1
bob,29,3,Medium,1
alice,44,6,Low,1
carol,50,9,Medium,1
bob,58,3,Medium,1
alice,38,3,Low,1
dave,52,4,Medium,0
eve,31,8,Medium,1
carol,30,1,High,0
alice,30,8,Medium,1
carol,46,3,High,1
dave,35,6,Low,1
eve,54,8,Low,0
bob,32,1,High,0
bob,42,11,Medium,0
carol,25,1,High,1
carol,13,2,Medium,1
eve,6,10,Medium,0
dave,49,3,Medium,1
bob,26,1,High,0
dave,46,11,Medium,1
bob,43,11,Medium,0
alice,47,8,Low,1
alice,19,4,Low,1
carol,23,10,Medium,1
carol,50,9,High,1
alice,33,2,High,1
bob,32,11,High,0
eve,5,0,Medium,1
eve,28,0,Low,1
carol,18,1,High,1
eve,39,0,Medium,1
alice,38,1,High,0
bob,38,9,Medium,0
dave,10,0,Low,1
bob,6,5,Medium,0
dave,35,5,Low,1
bob,25,4,High,1
carol,9,3,Medium,0
bob,51,9,Medium,1
carol,42,7,Low,1
alice,19,2,Medium,0
dave,12,4,Low,1
dave,5,0,Low,1
eve,18,11,High,0
eve,45,7,Low,1
carol,55,9,Medium,1
dave,31,9,High,1
bob,49,2,Medium,1
bob,38,2,Medium,0
bob,14,8,High,1
bob,18,8,Medium,0
alice,1,4,Low,0
dave,36,11,High,0
carol,40,9,Low,1
dave,2,7,Medium,0
eve,9,4,Low,1
carol,49,1,Low,1
eve,51,11,Low,1
alice,2,7,High,1
bob,39,4,High,1
dave,45,4,High,0
eve,38,3,Medium,1
alice,32,9,Medium,1
carol,33,0,Low,0
carol,12,8,High,0
dave,30,4,Medium,0
eve,57,5,Low,1
dave,31,4,Medium,0
bob,20,11,Medium,1
eve,45,9,Low,0
dave,9,7,Medium,1
bob,13,11,Low,0
dave,49,4,Medium,1
bob,24,1,High,1
dave,26,4,Low,1
bob,18,6,High,1
alice,33,8,High,0
alice,43,0,Medium,1
dave,30,2,High,0
eve,18,6,Medium,1
bob,9,0,High,0
carol,27,5,Low,1
bob,20,8,Medium,1
eve,11,10,Medium,1
alice,16,6,Low,1
dave,35,0,High,0
dave,48,0,High,0
carol,20,8,Medium,1
eve,38,2,Medium,1
alice,37,5,High,1
eve,26,8,Medium,0
bob,31,7,Low,0
bob,32,0,Medium,1
bob,48,7,High,0
carol,25,10,Medium,1
eve,26,8,Low,0
dave,54,9,Medium,1
eve,28,2,Low,0
alice,48,6,Medium,1
dave,15,10,High,1
eve,50,10,Medium,1
dave,15,3,Medium,0
carol,26,2,Low,1
bob,59,7,High,1
bob,55,1,Medium,1
carol,9,2,Low,1
dave,3,4,Low,1
dave,11,6,High,0
carol,15,2,Medium,1
dave,44,1,Low,1
dave,28,7,High,1
carol,37,4,Medium,1
carol,49,0,Low,1
carol,12,3,High,1
eve,17,6,Medium,0
dave,30,0,Medium,1
carol,18,7,High,1
bob,40,10,Medium,1
alice,18,11,High,0
dave,7,6,High,0
bob,35,3,High,0
carol,18,1,Medium,0
eve,8,3,Low,0
alice,49,1,Medium,1
bob,57,4,Medium,1
dave,39,6,Low,0
bob,38,3,Medium,0
alice,7,5,High,1
bob,58,3,Low,1
carol,40,2,Low,0
eve,7,1,Medium,1
alice,48,2,Medium,1
eve,42,8,Medium,1
carol,39,6,Low,1
bob,4,2,Low,1
eve,59,0,Medium,1
carol,37,8,Medium,1
bob,12,5,Medium,1
dave,29,10,Medium,0
bob,29,0,Medium,1
eve,54,11,High,0
dave,40,2,Low,1
dave,33,7,High,1
alice,42,1,High,1
carol,50,6,Low,1
dave,50,8,Low,0
bob,46,5,Low,0
carol,35,0,Medium,1
eve,27,11,Medium,1
dave,17,0,Low,1
eve,9,0,High,1
eve,58,4,High,1
carol,57,0,High,1
bob,9,0,High,1
dave,10,8,High,1
carol,54,3,Low,1
alice,56,5,High,1
carol,13,3,Low,1
dave,52,6,Medium,0
alice,58,10,Low,1
carol,55,6,Medium,1
bob,40,8,High,0
eve,55,6,High,1
alice,2,1,Low,1
alice,20,9,High,1
carol,25,6,High,1
eve,48,9,Low,1
eve,28,10,High,0
carol,45,6,High,0
alice,52,10,High,0
bob,12,10,Low,0
eve,49,10,Medium,1
dave,16,0,Low,1
eve,29,8,Medium,1
dave,12,6,High,1
bob,48,11,High,0
bob,44,10,Low,1
alice,5,1,High,1
bob,52,5,Low,0
alice,12,4,Medium,1
eve,23,8,Medium,1
carol,20,2,Medium,1
bob,34,10,Medium,0
carol,54,11,Medium,1
bob,49,5,Medium,1
alice,3,10,Medium,0
alice,44,11,Medium,0
bob,35,3,Medium,0
carol,59,10,High,0
bob,11,5,Medium,0
bob,36,4,High,1
dave,21,7,Low,0
eve,51,2,Low,1
bob,52,10,Low,1
alice,12,9,Low,1
alice,49,3,High,1
alice,7,9,High,0
alice,7,9,Low,1
carol,4,3,High,1
carol,42,4,Low,1
alice,12,1,Low,1
eve,13,1,Low,0
carol,34,6,Low,1
eve,16,6,High,0
eve,44,11,Low,1
eve,37,1,High,0
eve,26,6,High,1
carol,29,10,Low,1
dave,58,5,High,0
eve,28,6,High,1
alice,51,5,Medium,1
carol,33,0,High,1
alice,52,2,Medium,1
carol,17,6,Medium,1
eve,26,4,High,1
alice,2,6,Medium,1
dave,6,3,High,0
eve,55,8,Medium,0
dave,33,7,High,1
dave,29,11,Low,0
alice,2,5,Medium,1
alice,27,0,High,1
carol,57,7,Low,1
alice,30,2,Low,1
dave,44,10,High,0
eve,57,6,Low,1
bob,10,9,Low,0
dave,24,11,Low,1
carol,58,8,High,1
alice,6,1,Medium,1
alice,15,9,Low,1
eve,6,5,Low,1
dave,46,3,Medium,0
carol,12,9,Medium,1
carol,36,3,Low,1
bob,41,9,High,0
eve,41,9,Medium,0
carol,43,5,Low,1
carol,15,3,Medium,1
alice,50,1,Low,1
bob,52,8,Medium,1
bob,43,9,Low,1
bob,5,10,High,0
alice,19,1,High,1
eve,24,3,Low,0
dave,18,0,Medium,1
dave,5,10,Low,0
eve,24,5,Medium,1
alice,49,10,Low,1
eve,37,0,Medium,1
bob,28,10,Low,1
carol,42,11,Low,1
bob,32,9,Low,1
eve,58,9,Medium,1
dave,27,8,Medium,0
alice,1,8,High,1
dave,40,3,High,1
bob,12,9,Low,1
carol,48,6,High,1
carol,37,6,Low,1
eve,17,9,Medium,1
eve,33,1,Medium,1
dave,18,10,High,0
dave,37,3,High,0
bob,59,7,Medium,1
bob,19,8,Low,0
eve,10,0,Medium,1
dave,47,2,High,0
bob,22,8,Low,1
dave,25,10,High,1
bob,9,11,High,1
carol,6,4,Low,0
eve,58,3,High,0
bob,36,4,Medium,1
dave,16,2,Medium,0
eve,18,9,Medium,1
alice,39,4,High,1
dave,20,9,Low,0
dave,46,0,Medium,1
bob,54,3,High,1
eve,16,0,Low,0
eve,43,0,High,1
carol,28,9,Low,1
alice,47,8,Medium,1
eve,59,1,High,1
alice,11,3,High,1
alice,4,3,Medium,0
carol,9,5,Low,1
bob,43,9,Medium,0
bob,2,1,Medium,1
alice,53,7,Medium,1
eve,44,7,Medium,0
bob,19,5,Low,1
carol,20,3,High,1
bob,10,1,Medium,1
carol,31,9,Low,1
eve,6,3,Medium,1
alice,19,2,High,1
eve,11,8,Low,0
bob,56,5,High,0
bob,42,8,Low,0
alice,2,1,High,0
carol,41,4,Medium,1
carol,41,1,Medium,1
bob,28,4,High,1
bob,55,3,Low,0
carol,14,5,High,0
carol,2,10,High,1
eve,18,3,Low,1
alice,54,9,Medium,0
bob,30,8,Low,0
dave,8,2,Low,0
alice,36,0,Medium,1
eve,12,4,Low,0
eve,47,10,Low,0
dave,48,10,High,0
dave,4,10,High,0
dave,12,8,High,0
bob,38,9,High,0
bob,19,7,Low,0
eve,58,11,High,1
eve,58,8,High,0
dave,15,0,High,0
eve,59,1,High,1
dave,3,11,Medium,0
eve,49,10,High,0
alice,30,10,Low,0
dave,23,0,High,0
dave,42,5,Medium,0
dave,11,8,Medium,1
carol,2,5,High,0
alice,34,8,Low,1
eve,25,7,Medium,1
dave,15,0,Medium,0
dave,18,8,Medium,0
alice,39,0,Low,1
carol,49,4,Low,1
eve,15,2,Low,1
dave,30,3,High,1
bob,41,6,Medium,1
carol,21,8,High,1
carol,52,0,Medium,1
bob,51,8,High,0
eve,15,10,Medium,0
dave,51,8,Medium,1
alice,45,11,Low,0
bob,30,11,High,0
alice,12,4,High,1
alice,50,8,Low,1
alice,14,0,High,1
eve,5,8,Low,1
alice,54,1,High,1
alice,26,9,High,0
bob,47,11,Medium,0
carol,8,1,Medium,1
carol,23,0,Low,1
eve,42,0,Low,1
alice,26,0,Low,1
dave,15,11,Medium,0
eve,24,10,Low,1
bob,41,10,High,0
dave,1,0,Low,1
eve,29,1,Low,1
alice,6,7,High,0
bob,54,3,Low,1
bob,41,9,Medium,0
dave,30,4,Low,1
carol,15,4,High,0
dave,47,8,Low,0
dave,23,7,Medium,0
bob,26,0,Medium,1
bob,43,1,Low,0
bob,43,8,High,0
alice,13,9,Low,0
eve,31,3,Medium,0
carol,15,7,Medium,1
eve,33,3,Low,1
eve,54,1,Low,1
carol,15,5,High,1
bob,38,9,Medium,0
carol,9,10,High,0
dave,58,7,High,0
dave,51,2,High,0
carol,24,9,High,0
bob,44,3,Medium,1
dave,44,10,High,0
alice,31,2,Low,1
alice,49,5,Medium,1
carol,25,1,Medium,1
carol,55,3,High,1
bob,19,7,Low,1
bob,38,0,High,1
eve,55,6,Low,1
bob,39,7,Medium,1
eve,40,5,Medium,1
carol,11,4,High,1
carol,47,8,Low,1
carol,45,9,Medium,1
eve,9,9,High,0
bob,43,0,High,0
bob,9,10,Low,1
alice,3,5,Low,1
alice,15,1,Medium,1
dave,50,7,Low,0
carol,39,9,High,0
eve,57,0,Low,1
carol,10,10,Medium,1
bob,48,4,High,0
carol,6,0,Medium,1
eve,47,10,Medium,1
bob,5,9,Medium,1
bob,48,9,Medium,0
eve,13,0,High,1
alice,26,10,High,0
alice,30,8,High,0
alice,47,7,High,1
alice,1,8,High,1
bob,3,0,Low,1
eve,50,1,High,1
dave,46,3,High,0
dave,20,1,Low,0
bob,4,0,Medium,1
bob,15,0,Low,1
eve,54,1,High,1
alice,22,11,High,0
dave,15,2,Low,0
eve,58,10,Medium,0
alice,59,2,High,1
eve,10,6,Low,1
